id,user,uid,version,changeset,timestamp
37380674,巴山夜雨,4379011,5,51276914,2017-08-20T13:12:09Z
37380677,巴山夜雨,4379011,5,51276914,2017-08-20T13:12:09Z
37380681,巴山夜雨,4379011,5,51276914,2017-08-20T13:12:09Z
37380682,巴山夜雨,4379011,5,51276914,2017-08-20T13:12:09Z
37385920,巴山夜雨,4379011,6,46304327,2017-02-22T11:47:35Z
37385926,somethingsimple,3692997,6,39696985,2016-05-31T20:01:29Z
37385927,巴山夜雨,4379011,5,46307239,2017-02-22T13:25:55Z
37387190,greecemapper,23785,3,26833616,2014-11-16T23:28:01Z
37387196,Maarten Deen,9176,3,18095383,2013-09-29T16:10:59Z
37387198,greecemapper,23785,5,26833616,2014-11-16T23:28:01Z
37387201,Charly Q,4467193,8,50190671,2017-07-11T02:39:39Z
37387204,greecemapper,23785,5,26833616,2014-11-16T23:28:00Z
37387205,greecemapper,23785,3,26833616,2014-11-16T23:28:00Z
37387208,greecemapper,23785,3,26833616,2014-11-16T23:27:59Z
37387209,Binary Fairy,5337945,10,47884606,2017-04-17T20:30:34Z
37387214,greecemapper,23785,3,26833616,2014-11-16T23:28:00Z
37389822,somethingsimple,3692997,4,39714388,2016-06-01T16:30:36Z
37389843,jamesks,2500,10,44333750,2016-12-11T23:56:42Z
37389849,johndu,1156260,5,16746915,2013-06-29T02:39:14Z
37389851,somethingsimple,3692997,6,39699470,2016-05-31T22:31:46Z
37389868,somethingsimple,3692997,2,39699470,2016-05-31T22:31:43Z
37389877,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389878,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389879,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389880,somethingsimple,3692997,2,39699470,2016-05-31T22:31:43Z
37389881,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389882,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389883,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389884,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389885,istap,120612,1,1766052,2009-07-07T20:42:14Z
37389888,somethingsimple,3692997,6,39699842,2016-05-31T23:12:14Z
37389889,somethingsimple,3692997,10,39699842,2016-05-31T23:12:11Z
37389892,aighes,110639,6,35128046,2015-11-06T14:49:59Z
37389893,dbaron,481533,4,31573024,2015-05-29T21:39:55Z
37389894,aighes,110639,5,35125502,2015-11-06T12:58:09Z
37389895,aighes,110639,4,35128568,2015-11-06T15:19:13Z
37389896,samsung galaxy s6,3691120,5,51670603,2017-09-02T13:56:29Z
37389897,aighes,110639,3,35125502,2015-11-06T12:58:08Z
37389898,Davvan,2987661,7,34275474,2015-09-27T04:25:28Z
37389899,samsung galaxy s6,3691120,4,51670603,2017-09-02T13:56:29Z
37389909,aighes,110639,5,35128568,2015-11-06T15:19:13Z
37389924,aighes,110639,3,35128046,2015-11-06T14:49:59Z
37389933,dbaron,481533,3,31573024,2015-05-29T21:39:55Z
37389935,aighes,110639,4,35128046,2015-11-06T14:49:59Z
37389936,samsung galaxy s6,3691120,6,51670603,2017-09-02T13:56:29Z
37389937,aighes,110639,4,35128046,2015-11-06T14:49:59Z
37389938,aighes,110639,3,35125502,2015-11-06T12:58:09Z
37389939,aighes,110639,4,35128143,2015-11-06T14:55:50Z
37389940,rowers2,2445224,4,49627029,2017-06-18T05:28:48Z
37389945,istap,120612,1,1766052,2009-07-07T20:42:46Z
37389980,巴山夜雨,4379011,7,47380793,2017-04-02T12:54:23Z
37389981,somethingsimple,3692997,3,39699842,2016-05-31T23:12:11Z
37389982,somethingsimple,3692997,2,39699470,2016-05-31T22:31:44Z
37389983,istap,120612,1,1766052,2009-07-07T20:43:06Z
37389984,istap,120612,1,1766052,2009-07-07T20:43:07Z
37389985,somethingsimple,3692997,2,39699470,2016-05-31T22:31:46Z
37389986,istap,120612,1,1766052,2009-07-07T20:43:09Z
37389988,istap,120612,1,1766052,2009-07-07T20:43:11Z
37389989,istap,120612,1,1766052,2009-07-07T20:43:12Z
37389990,istap,120612,1,1766052,2009-07-07T20:43:13Z
